0.808,0.824,0.84,0.832
0.832,0.84,0.84,0.84
0.752,0.776,0.808,0.72
0.688,0.784,0.792,0.784
0.72,0.784,0.744,0.792
0.657303,0.775281,0.775281,0.769663
0.775281,0.775281,0.775281,0.775281
0.426966,0.674157,0.494382,0.342697
0.730337,0.735955,0.629213,0.685393
0.707865,0.730337,0.634831,0.679775
0.822526,0.880546,0.887372,0.890785
0.887372,0.890785,0.890785,0.890785
0.699659,0.802048,0.825939,0.542662
0.83959,0.83959,0.883959,0.825939
0.856655,0.836177,0.860068,0.843003
0.723647,0.732194,0.735043,0.735043
0.766382,0.769231,0.737892,0.737892
0.769231,0.789174,0.777778,0.774929
0.766382,0.780627,0.7151,0.698006
0.766382,0.777778,0.732194,0.68661
0.758389,0.747651,0.778523,0.777181
0.804027,0.804027,0.777181,0.777181
0.805369,0.801342,0.814765,0.824161
0.761074,0.744966,0.74094,0.75302
0.767785,0.755705,0.742282,0.742282
0.846154,0.884615,0.884615,0.884615
0.880342,0.880342,0.884615,0.884615
0.435897,0.858974,0.876068,0.17094
0.777778,0.790598,0.747863,0.782051
0.773504,0.782051,0.769231,0.786325
0.651163,0.813953,0.627907,0.813953
0.790698,0.813953,0.72093,0.697674
0.813953,0.860465,0.883721,0.883721
0.813953,0.860465,0.883721,0.837209
0.860465,0.883721,0.883721,0.837209
0.946903,0.946903,0.958702,0.961652
0.955752,0.961652,0.961652,0.961652
0.920354,0.943953,0.941003,0.946903
0.905605,0.920354,0.914454,0.914454
0.902655,0.914454,0.926254,0.932153
0.564145,0.606908,0.643092,0.636513
0.654605,0.644737,0.644737,0.644737
0.649671,0.651316,0.649671,0.652961
0.603618,0.560855,0.587171,0.595395
0.623355,0.549342,0.601974,0.603618
0.775229,0.790138,0.833716,0.833716
0.834862,0.833716,0.833716,0.833716
0.787844,0.788991,0.803899,0.819954
0.77867,0.75,0.769495,0.748853
0.775229,0.75,0.771789,0.74656
0.784456,0.78342,0.805181,0.805181
